Latitude;Longitude;Wegpunkttyp;Fahrzeug;Tour;Zeitstempel;Kommentar;MetaTag;MetaValue;
47,1397766256199;14,3063284043269;Wegpunkt;;;06.11.2024 03:40:39;;;;
47,1398249053851;14,306406188393;Wegpunkt;;;06.11.2024 03:41:05;;;;
47,1398249053851;14,306406188393;Wegpunkt;;;06.11.2024 03:42:05;;;;
47,1398128354438;14,3063753429875;Wegpunkt;;;06.11.2024 03:43:05;;;;
47,1398128354438;14,3063753429875;Wegpunkt;;;06.11.2024 03:44:05;;;;
47,1398128354438;14,3063753429875;Wegpunkt;;;06.11.2024 03:45:05;;;;
47,1398128354438;14,3063753429875;Wegpunkt;;;06.11.2024 03:46:05;;;;
47,1398128354438;14,3063753429875;Wegpunkt;;;06.11.2024 03:47:05;;;;
47,1398128354438;14,3063753429875;Wegpunkt;;;06.11.2024 03:48:05;;;;
47,1398128354438;14,3063753429875;Wegpunkt;;;06.11.2024 03:49:05;;;;
47,1398128354438;14,3063753429875;Wegpunkt;;;06.11.2024 03:50:05;;;;
47,1398128354438;14,3063753429875;Wegpunkt;;;06.11.2024 03:51:05;;;;
47,1398128354438;14,3063753429875;Wegpunkt;;;06.11.2024 03:52:05;;;;
47,1398128354438;14,3063753429875;Wegpunkt;;;06.11.2024 03:53:05;;;;
47,1398128354438;14,3063753429875;Wegpunkt;;;06.11.2024 03:54:05;;;;
47,1397122525997;14,3063324276407;Wegpunkt;;;06.11.2024 03:55:05;;;;
47,1385763370142;14,3062425736333;Wegpunkt;;;06.11.2024 03:55:24;;;;
47,1384663664381;14,3063270632223;Wegpunkt;;;06.11.2024 03:55:26;;;;
47,1383577369665;14,306559074316;Wegpunkt;;;06.11.2024 03:55:30;;;;
47,1382893406325;14,3066086951857;Wegpunkt;;;06.11.2024 03:55:32;;;;
47,1380479418068;14,3065604154206;Wegpunkt;;;06.11.2024 03:55:58;;;;
47,1379621111132;14,3065054301325;Wegpunkt;;;06.11.2024 03:56:01;;;;
47,1378789626288;14,3063927773471;Wegpunkt;;;06.11.2024 03:56:04;;;;
47,1378575049554;14,306344497582;Wegpunkt;;;06.11.2024 03:56:05;;;;
47,1378253184453;14,3062278214829;Wegpunkt;;;06.11.2024 03:56:07;;;;
47,1380036853554;14,3045058431927;Wegpunkt;;;06.11.2024 03:56:20;;;;
47,1376415871168;14,3026350022933;Wegpunkt;;;06.11.2024 03:56:30;;;;
47,1365727267607;14,3003202557755;Wegpunkt;;;06.11.2024 03:56:43;;;;
47,1363380334579;14,2995129108139;Wegpunkt;;;06.11.2024 03:56:48;;;;
47,1362656138102;14,2993908702964;Wegpunkt;;;06.11.2024 03:56:49;;;;
47,1357922038908;14,2989335536321;Wegpunkt;;;06.11.2024 03:56:54;;;;
47,1355494639605;14,2984118639476;Wegpunkt;;;06.11.2024 03:56:58;;;;
47,1355092308229;14,2982764123843;Wegpunkt;;;06.11.2024 03:56:59;;;;
47,1354904553586;14,2981423019256;Wegpunkt;;;06.11.2024 03:57:00;;;;
47,135495819777;14,2980189203035;Wegpunkt;;;06.11.2024 03:57:01;;;;
47,1355709216339;14,2977842270007;Wegpunkt;;;06.11.2024 03:57:03;;;;
47,135625906922;14,2976742564246;Wegpunkt;;;06.11.2024 03:57:04;;;;
47,1356862566284;14,2975522159071;Wegpunkt;;;06.11.2024 03:57:05;;;;
47,1362575671826;14,2957014915765;Wegpunkt;;;06.11.2024 03:57:16;;;;
47,1370085857516;14,2940465685157;Wegpunkt;;;06.11.2024 03:57:26;;;;
47,1383496903389;14,2926665718953;Wegpunkt;;;06.11.2024 03:57:37;;;;
47,138918318684;14,2915051753226;Wegpunkt;;;06.11.2024 03:57:44;;;;
47,1393729531391;14,2894130521663;Wegpunkt;;;06.11.2024 03:57:55;;;;
47,1394628071465;14,2875529401036;Wegpunkt;;;06.11.2024 03:58:04;;;;
47,1394789004015;14,2873584799384;Wegpunkt;;;06.11.2024 03:58:05;;;;
47,1395244979575;14,2864357999823;Wegpunkt;;;06.11.2024 03:58:10;;;;
47,1395124280162;14,2862802318502;Wegpunkt;;;06.11.2024 03:58:11;;;;
47,139425256218;14,2860160342464;Wegpunkt;;;06.11.2024 03:58:13;;;;
47,1392991923868;14,2858148685583;Wegpunkt;;;06.11.2024 03:58:15;;;;
