Latitude;Longitude;Wegpunkttyp;Fahrzeug;Tour;Zeitstempel;Kommentar;MetaTag;MetaValue;
47,1398235642805;14,3063525442095;Wegpunkt;;;07.11.2024 03:39:09;;;;
47,1398356342218;14,3063726607783;Wegpunkt;;;07.11.2024 03:40:09;;;;
47,1398356342218;14,3063726607783;Wegpunkt;;;07.11.2024 03:41:09;;;;
47,1398356342218;14,3063726607783;Wegpunkt;;;07.11.2024 03:42:09;;;;
47,1398356342218;14,3063726607783;Wegpunkt;;;07.11.2024 03:43:09;;;;
47,1398356342218;14,3063726607783;Wegpunkt;;;07.11.2024 03:44:09;;;;
47,1398302698034;14,3063740018829;Wegpunkt;;;07.11.2024 03:45:09;;;;
47,1398302698034;14,3063740018829;Wegpunkt;;;07.11.2024 03:46:09;;;;
47,1398302698034;14,3063740018829;Wegpunkt;;;07.11.2024 03:47:09;;;;
47,1398302698034;14,3063740018829;Wegpunkt;;;07.11.2024 03:48:09;;;;
47,1398342931172;14,3063780251967;Wegpunkt;;;07.11.2024 03:49:09;;;;
47,1398342931172;14,3063780251967;Wegpunkt;;;07.11.2024 03:50:09;;;;
47,1398342931172;14,3063780251967;Wegpunkt;;;07.11.2024 03:51:09;;;;
47,1398342931172;14,3063780251967;Wegpunkt;;;07.11.2024 03:52:09;;;;
47,1398342931172;14,3063780251967;Wegpunkt;;;07.11.2024 03:53:09;;;;
47,1398342931172;14,3063780251967;Wegpunkt;;;07.11.2024 03:54:09;;;;
47,1398342931172;14,3063780251967;Wegpunkt;;;07.11.2024 03:55:09;;;;
47,1396679961483;14,3063136521765;Wegpunkt;;;07.11.2024 03:55:30;;;;
47,1388673567097;14,3063136521765;Wegpunkt;;;07.11.2024 03:55:46;;;;
47,1386594854986;14,3062412325287;Wegpunkt;;;07.11.2024 03:55:49;;;;
47,1385454916087;14,306237209215;Wegpunkt;;;07.11.2024 03:55:51;;;;
47,1384435676601;14,306298900026;Wegpunkt;;;07.11.2024 03:55:53;;;;
47,1383456670252;14,3065577332114;Wegpunkt;;;07.11.2024 03:55:57;;;;
47,1382692240637;14,3066033307674;Wegpunkt;;;07.11.2024 03:56:00;;;;
47,1382209442986;14,3065966252444;Wegpunkt;;;07.11.2024 03:56:09;;;;
47,1379916154141;14,3065577332114;Wegpunkt;;;07.11.2024 03:56:28;;;;
47,137897738093;14,3064584914719;Wegpunkt;;;07.11.2024 03:56:31;;;;
47,1378400705958;14,3063149932811;Wegpunkt;;;07.11.2024 03:56:33;;;;
47,1378119073994;14,3061258975343;Wegpunkt;;;07.11.2024 03:56:35;;;;
47,1378145896086;14,3060199502718;Wegpunkt;;;07.11.2024 03:56:36;;;;
47,1379755221591;14,30470969109;Wegpunkt;;;07.11.2024 03:56:45;;;;
47,137689866882;14,3028482379227;Wegpunkt;;;07.11.2024 03:56:55;;;;
47,1366880617552;14,3006233454122;Wegpunkt;;;07.11.2024 03:57:08;;;;
47,1366223476304;14,3004543662342;Wegpunkt;;;07.11.2024 03:57:09;;;;
47,1363205990982;14,2994834065129;Wegpunkt;;;07.11.2024 03:57:15;;;;
47,1362548849735;14,2993707537276;Wegpunkt;;;07.11.2024 03:57:16;;;;
47,135788180577;14,2988960027037;Wegpunkt;;;07.11.2024 03:57:22;;;;
47,1355762860522;14,2984614848174;Wegpunkt;;;07.11.2024 03:57:26;;;;
47,1355065486137;14,2982214270962;Wegpunkt;;;07.11.2024 03:57:28;;;;
47,1354904553586;14,2981047509971;Wegpunkt;;;07.11.2024 03:57:29;;;;
47,1354931375678;14,2979894160026;Wegpunkt;;;07.11.2024 03:57:30;;;;
47,1355172774504;14,2978821276356;Wegpunkt;;;07.11.2024 03:57:31;;;;
47,1363353512487;14,2955338535031;Wegpunkt;;;07.11.2024 03:57:47;;;;
47,1369884691828;14,2940063353781;Wegpunkt;;;07.11.2024 03:57:56;;;;
47,1371735416158;14,2937635954478;Wegpunkt;;;07.11.2024 03:57:58;;;;
47,1382611774362;14,2927510614843;Wegpunkt;;;07.11.2024 03:58:07;;;;
47,1383671246986;14,2925981755613;Wegpunkt;;;07.11.2024 03:58:08;;;;
47,1384677075426;14,2924412663246;Wegpunkt;;;07.11.2024 03:58:09;;;;
47,1388539456638;14,2916097814804;Wegpunkt;;;07.11.2024 03:58:14;;;;
47,1393850230804;14,2892293208378;Wegpunkt;;;07.11.2024 03:58:27;;;;
47,1395352267942;14,2864103189951;Wegpunkt;;;07.11.2024 03:58:42;;;;
47,1395124280162;14,2862534097584;Wegpunkt;;;07.11.2024 03:58:43;;;;
47,1394721948786;14,2861099115676;Wegpunkt;;;07.11.2024 03:58:44;;;;
47,1394172095905;14,2859825066318;Wegpunkt;;;07.11.2024 03:58:45;;;;
47,1390296303647;14,2853830328812;Wegpunkt;;;07.11.2024 03:58:52;;;;
47,1389263653115;14,2853052488151;Wegpunkt;;;07.11.2024 03:58:55;;;;
47,1376925490911;14,2852811089326;Wegpunkt;;;07.11.2024 03:59:08;;;;
47,1375852607241;14,2852676978867;Wegpunkt;;;07.11.2024 03:59:09;;;;
47,1374806545663;14,2852395346904;Wegpunkt;;;07.11.2024 03:59:10;;;;
47,1370742998764;14,2849096229619;Wegpunkt;;;07.11.2024 03:59:14;;;;
47,1368060789589;14,2845139971086;Wegpunkt;;;07.11.2024 03:59:17;;;;
47,1366370997809;14,2840137650975;Wegpunkt;;;07.11.2024 03:59:20;;;;
47,1361864886395;14,2767329082926;Wegpunkt;;;07.11.2024 03:59:51;;;;
47,1359585008597;14,2715911133046;Wegpunkt;;;07.11.2024 04:00:08;;;;
47,1359316787679;14,2712947291907;Wegpunkt;;;07.11.2024 04:00:09;;;;
47,1367524347754;14,2617728866203;Wegpunkt;;;07.11.2024 04:00:41;;;;
47,1360470137624;14,2558639798083;Wegpunkt;;;07.11.2024 04:01:02;;;;
47,1356017670394;14,2543780359255;Wegpunkt;;;07.11.2024 04:01:08;;;;
47,1355092308229;14,2541420015181;Wegpunkt;;;07.11.2024 04:01:09;;;;
47,1348775705622;14,2525273115949;Wegpunkt;;;07.11.2024 04:01:18;;;;
47,1347702821952;14,2524508686334;Wegpunkt;;;07.11.2024 04:01:20;;;;
47,1346656760374;14,2524307520646;Wegpunkt;;;07.11.2024 04:01:22;;;;
47,1345932563897;14,2523489446848;Wegpunkt;;;07.11.2024 04:01:24;;;;
47,1344779213952;14,251737400993;Wegpunkt;;;07.11.2024 04:01:32;;;;
47,1337027629437;14,2494615465082;Wegpunkt;;;07.11.2024 04:01:54;;;;
47,1335941334721;14,2490310519356;Wegpunkt;;;07.11.2024 04:01:58;;;;
47,1334130843528;14,2487333267172;Wegpunkt;;;07.11.2024 04:02:01;;;;
47,1327519197912;14,2481767683134;Wegpunkt;;;07.11.2024 04:02:08;;;;
47,1326862056664;14,2481351940712;Wegpunkt;;;07.11.2024 04:02:09;;;;
47,1325105209655;14,2480051069263;Wegpunkt;;;07.11.2024 04:02:13;;;;
47,1325225909068;14,2480225412859;Wegpunkt;;;07.11.2024 04:03:09;;;;
47,1324300546902;14,2479970602988;Wegpunkt;;;07.11.2024 04:03:50;;;;
47,1312391538166;14,2470019606949;Wegpunkt;;;07.11.2024 04:04:08;;;;
47,1311492998093;14,2469214944197;Wegpunkt;;;07.11.2024 04:04:09;;;;
47,1293119865246;14,2452719357772;Wegpunkt;;;07.11.2024 04:04:28;;;;
47,1288090723043;14,2444940951165;Wegpunkt;;;07.11.2024 04:04:36;;;;
47,1287299471336;14,2444645908156;Wegpunkt;;;07.11.2024 04:04:43;;;;
47,1281546132657;14,2454932180341;Wegpunkt;;;07.11.2024 04:05:07;;;;
47,1280996279776;14,2455803898323;Wegpunkt;;;07.11.2024 04:05:09;;;;
47,1280620770492;14,2456729260488;Wegpunkt;;;07.11.2024 04:05:11;;;;
47,1280768291996;14,2457802144158;Wegpunkt;;;07.11.2024 04:05:13;;;;
47,1281412022198;14,2458566573773;Wegpunkt;;;07.11.2024 04:05:15;;;;
47,1283463912217;14,245890184992;Wegpunkt;;;07.11.2024 04:05:19;;;;
47,1285542624327;14,2460846451571;Wegpunkt;;;07.11.2024 04:05:23;;;;
47,1285998599887;14,2462268022434;Wegpunkt;;;07.11.2024 04:05:25;;;;
47,1287983434676;14,2477932124015;Wegpunkt;;;07.11.2024 04:05:39;;;;
47,1287567692254;14,2485120444603;Wegpunkt;;;07.11.2024 04:05:45;;;;
47,1287648158529;14,2486407905007;Wegpunkt;;;07.11.2024 04:05:47;;;;
47,128927089508;14,248844638398;Wegpunkt;;;07.11.2024 04:05:53;;;;
47,1292087214713;14,2490887194329;Wegpunkt;;;07.11.2024 04:05:59;;;;
47,1292663889686;14,2491624801852;Wegpunkt;;;07.11.2024 04:06:00;;;;
47,129349537453;14,2493448704091;Wegpunkt;;;07.11.2024 04:06:02;;;;
47,1294152515778;14,2496747821376;Wegpunkt;;;07.11.2024 04:06:05;;;;
47,1294192748916;14,2497807294;Wegpunkt;;;07.11.2024 04:06:06;;;;
47,1293763595448;14,2499872595064;Wegpunkt;;;07.11.2024 04:06:08;;;;
47,129326738675;14,2500690668863;Wegpunkt;;;07.11.2024 04:06:09;;;;
47,1292663889686;14,250134781011;Wegpunkt;;;07.11.2024 04:06:10;;;;
47,1291376429282;14,2501709908349;Wegpunkt;;;07.11.2024 04:06:12;;;;
47,1289364772401;14,2501428276386;Wegpunkt;;;07.11.2024 04:06:16;;;;
47,1288573520694;14,2501548975798;Wegpunkt;;;07.11.2024 04:06:19;;;;
47,1287822502126;14,2502125650771;Wegpunkt;;;07.11.2024 04:06:22;;;;
47,1281653421024;14,251077577536;Wegpunkt;;;07.11.2024 04:06:42;;;;
47,1271809713352;14,2518688292425;Wegpunkt;;;07.11.2024 04:06:59;;;;
47,1265157834599;14,2521410734738;Wegpunkt;;;07.11.2024 04:07:08;;;;
47,1264339760801;14,2521343679508;Wegpunkt;;;07.11.2024 04:07:09;;;;
47,1255139783331;14,2519814820278;Wegpunkt;;;07.11.2024 04:07:22;;;;
47,1254496053129;14,2519023568572;Wegpunkt;;;07.11.2024 04:07:26;;;;
47,1254402175808;14,2517883629673;Wegpunkt;;;07.11.2024 04:07:31;;;;
47,1255448237386;14,2515979261159;Wegpunkt;;;07.11.2024 04:07:41;;;;
47,1256185844909;14,2515214831544;Wegpunkt;;;07.11.2024 04:07:44;;;;
47,1263347343406;14,2513323874076;Wegpunkt;;;07.11.2024 04:07:57;;;;
47,1266646460691;14,2510400266075;Wegpunkt;;;07.11.2024 04:08:03;;;;
47,1268228964104;14,2507758290038;Wegpunkt;;;07.11.2024 04:08:07;;;;
47,1268939749535;14,2506162375579;Wegpunkt;;;07.11.2024 04:08:09;;;;
47,1268993393719;14,250502243668;Wegpunkt;;;07.11.2024 04:08:11;;;;
47,1267638878086;14,2502340227505;Wegpunkt;;;07.11.2024 04:08:15;;;;
47,1266874448471;14,2499282509046;Wegpunkt;;;07.11.2024 04:08:19;;;;
47,1266123429902;14,2497874349229;Wegpunkt;;;07.11.2024 04:08:21;;;;
47,1264326349755;14,2495540827247;Wegpunkt;;;07.11.2024 04:08:25;;;;
47,1263266877131;14,2489948421118;Wegpunkt;;;07.11.2024 04:08:31;;;;
47,1262569502745;14,2488111107833;Wegpunkt;;;07.11.2024 04:08:33;;;;
47,1260235980763;14,2482679634254;Wegpunkt;;;07.11.2024 04:08:38;;;;
47,1259860471479;14,2480895965153;Wegpunkt;;;07.11.2024 04:08:40;;;;
47,1259444729057;14,2479756026254;Wegpunkt;;;07.11.2024 04:08:42;;;;
47,125872053258;14,247901841873;Wegpunkt;;;07.11.2024 04:08:45;;;;
47,1257942691919;14,2478964774547;Wegpunkt;;;07.11.2024 04:08:47;;;;
47,1257245317533;14,2479943780896;Wegpunkt;;;07.11.2024 04:08:50;;;;
47,1257540360542;14,2482384591245;Wegpunkt;;;07.11.2024 04:08:55;;;;
47,1257862225644;14,2483604996419;Wegpunkt;;;07.11.2024 04:08:57;;;;
47,1258371845387;14,2484785168456;Wegpunkt;;;07.11.2024 04:08:59;;;;
47,1259484962194;14,2489666789154;Wegpunkt;;;07.11.2024 04:09:05;;;;
47,1259391084873;14,249182596754;Wegpunkt;;;07.11.2024 04:09:07;;;;
47,1259122863956;14,2493864446513;Wegpunkt;;;07.11.2024 04:09:09;;;;
47,1258479133754;14,2497109919614;Wegpunkt;;;07.11.2024 04:09:12;;;;
47,1257902458781;14,249858513466;Wegpunkt;;;07.11.2024 04:09:14;;;;
47,1257138029166;14,2499510496826;Wegpunkt;;;07.11.2024 04:09:16;;;;
47,1254522875221;14,249988600611;Wegpunkt;;;07.11.2024 04:09:20;;;;
47,1253154948542;14,2499202042771;Wegpunkt;;;07.11.2024 04:09:22;;;;
47,1251988187551;14,2498062103871;Wegpunkt;;;07.11.2024 04:09:24;;;;
47,1251357868395;14,249650642255;Wegpunkt;;;07.11.2024 04:09:26;;;;
47,1251465156762;14,2494964152274;Wegpunkt;;;07.11.2024 04:09:28;;;;
47,1251947954413;14,2493542581412;Wegpunkt;;;07.11.2024 04:09:30;;;;
47,1252484396248;14,2488553672347;Wegpunkt;;;07.11.2024 04:09:35;;;;
47,1252363696835;14,2486354260823;Wegpunkt;;;07.11.2024 04:09:37;;;;
47,1249373033606;14,2472809104491;Wegpunkt;;;07.11.2024 04:09:50;;;;
47,1248554959807;14,2472554294619;Wegpunkt;;;07.11.2024 04:09:53;;;;
47,1248313560981;14,2473801521886;Wegpunkt;;;07.11.2024 04:09:57;;;;
47,1248622015036;14,2474901227647;Wegpunkt;;;07.11.2024 04:10:00;;;;
47,1248917058046;14,2479192762327;Wegpunkt;;;07.11.2024 04:10:07;;;;
47,1248863413862;14,2480989842474;Wegpunkt;;;07.11.2024 04:10:09;;;;
