Latitude;Longitude;Wegpunkttyp;Fahrzeug;Tour;Zeitstempel;Kommentar;MetaTag;MetaValue;
47,1397672378878;14,3064625147857;Wegpunkt;;;04.12.2024 06:18:52;;;;
47,1398396575355;14,306428987171;Wegpunkt;;;04.12.2024 06:18:53;;;;
47,1397565090511;14,3064088706022;Wegpunkt;;;04.12.2024 06:19:12;;;;
47,1397511446328;14,3064128939159;Wegpunkt;;;04.12.2024 06:19:51;;;;
47,1397511446328;14,3064128939159;Wegpunkt;;;04.12.2024 06:20:51;;;;
47,1397511446328;14,3064128939159;Wegpunkt;;;04.12.2024 06:21:51;;;;
47,1397511446328;14,3064128939159;Wegpunkt;;;04.12.2024 06:22:51;;;;
47,1397511446328;14,3064128939159;Wegpunkt;;;04.12.2024 06:23:51;;;;
47,1397511446328;14,3064128939159;Wegpunkt;;;04.12.2024 06:24:51;;;;
47,1397511446328;14,3064128939159;Wegpunkt;;;04.12.2024 06:25:51;;;;
47,1397511446328;14,3064128939159;Wegpunkt;;;04.12.2024 06:26:51;;;;
47,1396076464419;14,3063190165948;Wegpunkt;;;04.12.2024 06:27:30;;;;
47,1388123714216;14,306321698804;Wegpunkt;;;04.12.2024 06:27:50;;;;
47,1387479984014;14,3062948767123;Wegpunkt;;;04.12.2024 06:27:51;;;;
47,1386219345702;14,3062787834572;Wegpunkt;;;04.12.2024 06:27:53;;;;
47,1385025762619;14,3063056055489;Wegpunkt;;;04.12.2024 06:27:55;;;;
47,1384301566142;14,3064249638572;Wegpunkt;;;04.12.2024 06:27:57;;;;
47,1384086989408;14,3065563921068;Wegpunkt;;;04.12.2024 06:27:59;;;;
47,1384744130656;14,3068205897105;Wegpunkt;;;04.12.2024 06:28:05;;;;
47,1384931885298;14,3070995394647;Wegpunkt;;;04.12.2024 06:28:11;;;;
47,1384677075426;14,3074549321803;Wegpunkt;;;04.12.2024 06:28:15;;;;
47,1385092817848;14,3076145236262;Wegpunkt;;;04.12.2024 06:28:17;;;;
47,1386179112564;14,3076735322281;Wegpunkt;;;04.12.2024 06:28:19;;;;
47,1387533628198;14,3076426868226;Wegpunkt;;;04.12.2024 06:28:21;;;;
47,1388646745005;14,3075367395602;Wegpunkt;;;04.12.2024 06:28:23;;;;
47,1389934205409;14,3074844364813;Wegpunkt;;;04.12.2024 06:28:25;;;;
47,1396599495208;14,3074066524152;Wegpunkt;;;04.12.2024 06:28:34;;;;
47,1398329520126;14,3072886352115;Wegpunkt;;;04.12.2024 06:28:38;;;;
47,1398919606144;14,3071250204518;Wegpunkt;;;04.12.2024 06:28:40;;;;
47,1400327765961;14,3068675283711;Wegpunkt;;;04.12.2024 06:28:44;;;;
47,1400475287466;14,3067133013435;Wegpunkt;;;04.12.2024 06:28:46;;;;
47,1400086367135;14,3065724853618;Wegpunkt;;;04.12.2024 06:28:48;;;;
47,1399308526475;14,3064933601912;Wegpunkt;;;04.12.2024 06:28:50;;;;
47,1398946428236;14,3064812902499;Wegpunkt;;;04.12.2024 06:28:51;;;;
47,1397940599796;14,3065094534462;Wegpunkt;;;04.12.2024 06:29:36;;;;
47,1397645556787;14,3066154007086;Wegpunkt;;;04.12.2024 06:29:38;;;;
47,1397779667245;14,3070150498757;Wegpunkt;;;04.12.2024 06:29:46;;;;
47,1398249053851;14,3072403554464;Wegpunkt;;;04.12.2024 06:29:50;;;;
47,1398155176529;14,3073100928849;Wegpunkt;;;04.12.2024 06:29:51;;;;
47,1397457802144;14,3073986057877;Wegpunkt;;;04.12.2024 06:29:53;;;;
47,1388874732785;14,3074455444482;Wegpunkt;;;04.12.2024 06:30:04;;;;
47,1386675321262;14,3076172058354;Wegpunkt;;;04.12.2024 06:30:08;;;;
47,1385495149225;14,3076332990905;Wegpunkt;;;04.12.2024 06:30:10;;;;
47,1384650253335;14,3075166229914;Wegpunkt;;;04.12.2024 06:30:12;;;;
47,1383711480123;14,3067615811087;Wegpunkt;;;04.12.2024 06:30:20;;;;
47,138342984816;14,3066529516371;Wegpunkt;;;04.12.2024 06:30:22;;;;
47,1382719062729;14,3066033307674;Wegpunkt;;;04.12.2024 06:30:26;;;;
47,1382182620894;14,3065952841398;Wegpunkt;;;04.12.2024 06:30:51;;;;
47,1380586706435;14,3065711442572;Wegpunkt;;;04.12.2024 06:31:08;;;;
47,1379768632636;14,3065255467013;Wegpunkt;;;04.12.2024 06:31:10;;;;
47,1378883503609;14,3064102117068;Wegpunkt;;;04.12.2024 06:31:12;;;;
47,1378333650728;14,3062103871233;Wegpunkt;;;04.12.2024 06:31:14;;;;
47,1378320239682;14,3060802999783;Wegpunkt;;;04.12.2024 06:31:15;;;;
47,1379956387279;14,3049618187524;Wegpunkt;;;04.12.2024 06:31:22;;;;
47,1379916154141;14,3043797793615;Wegpunkt;;;04.12.2024 06:31:25;;;;
47,1376684092086;14,3027409495557;Wegpunkt;;;04.12.2024 06:31:33;;;;
47,1365566335056;14,3002987981021;Wegpunkt;;;04.12.2024 06:31:46;;;;
47,136331327935;14,2995343684873;Wegpunkt;;;04.12.2024 06:31:50;;;;
47,1362428150322;14,2993761181459;Wegpunkt;;;04.12.2024 06:31:51;;;;
47,1356688222688;14,2986908137018;Wegpunkt;;;04.12.2024 06:31:57;;;;
47,1355092308229;14,2982522725017;Wegpunkt;;;04.12.2024 06:32:00;;;;
47,1354877731495;14,2981034098925;Wegpunkt;;;04.12.2024 06:32:01;;;;
47,135495819777;14,2979545472833;Wegpunkt;;;04.12.2024 06:32:02;;;;
47,1355320296009;14,2978298245567;Wegpunkt;;;04.12.2024 06:32:03;;;;
47,1363420567716;14,2955271479802;Wegpunkt;;;04.12.2024 06:32:17;;;;
47,1370836876085;14,2939218457891;Wegpunkt;;;04.12.2024 06:32:26;;;;
47,1382960461555;14,2927456970659;Wegpunkt;;;04.12.2024 06:32:36;;;;
47,1389008843244;14,291542726251;Wegpunkt;;;04.12.2024 06:32:43;;;;
47,1392012917519;14,2902995222985;Wegpunkt;;;04.12.2024 06:32:50;;;;
47,1392468893079;14,2901292020159;Wegpunkt;;;04.12.2024 06:32:51;;;;
47,1394185506951;14,2891609245038;Wegpunkt;;;04.12.2024 06:32:57;;;;
47,1395379090034;14,286400931263;Wegpunkt;;;04.12.2024 06:33:13;;;;
47,139470853774;14,2861072293584;Wegpunkt;;;04.12.2024 06:33:15;;;;
47,1394145273813;14,2859744600042;Wegpunkt;;;04.12.2024 06:33:16;;;;
47,1391396009409;14,2855748108372;Wegpunkt;;;04.12.2024 06:33:20;;;;
47,1390443825152;14,2853360942206;Wegpunkt;;;04.12.2024 06:33:45;;;;
47,1389585518216;14,2852703800959;Wegpunkt;;;04.12.2024 06:33:48;;;;
47,1388485812455;14,285273062305;Wegpunkt;;;04.12.2024 06:33:50;;;;
47,1387868904344;14,2852757445142;Wegpunkt;;;04.12.2024 06:33:51;;;;
47,1363903365368;14,2852998843968;Wegpunkt;;;04.12.2024 06:34:12;;;;
47,1362750015423;14,285380350672;Wegpunkt;;;04.12.2024 06:34:14;;;;
47,1362428150322;14,2859261802391;Wegpunkt;;;04.12.2024 06:34:19;;;;
47,1365257881001;14,2867804638612;Wegpunkt;;;04.12.2024 06:34:26;;;;
47,1365311525185;14,2870647780338;Wegpunkt;;;04.12.2024 06:34:28;;;;
47,1361087045734;14,290691124838;Wegpunkt;;;04.12.2024 06:34:50;;;;
47,1360832235863;14,2908426696564;Wegpunkt;;;04.12.2024 06:34:51;;;;
47,1336249788776;14,3009478927223;Wegpunkt;;;04.12.2024 06:35:48;;;;
47,1335874279492;14,3013220609022;Wegpunkt;;;04.12.2024 06:35:50;;;;
47,1335686524849;14,3015057922307;Wegpunkt;;;04.12.2024 06:35:51;;;;
47,1328511615307;14,311141628691;Wegpunkt;;;04.12.2024 06:36:50;;;;
47,1328431149032;14,311317313392;Wegpunkt;;;04.12.2024 06:36:51;;;;
47,132180609237;14,3201793325054;Wegpunkt;;;04.12.2024 06:37:34;;;;
47,1323482473104;14,3213769389019;Wegpunkt;;;04.12.2024 06:37:41;;;;
47,1329799075711;14,3231471969573;Wegpunkt;;;04.12.2024 06:37:50;;;;
47,1330603738463;14,3233711614234;Wegpunkt;;;04.12.2024 06:37:51;;;;
47,1335270782427;14,3250153556475;Wegpunkt;;;04.12.2024 06:37:58;;;;
47,1336155911455;14,3267534271928;Wegpunkt;;;04.12.2024 06:38:05;;;;
47,1314523894461;14,3365823827137;Wegpunkt;;;04.12.2024 06:38:50;;;;
47,1314014274717;14,3367996416569;Wegpunkt;;;04.12.2024 06:38:51;;;;
47,1302293020624;14,3424778784798;Wegpunkt;;;04.12.2024 06:39:16;;;;
