tracking_id,num_points,bbox_area,point_density,avg_segment_distance,num_stops,street_length_total,intersection_count,street_density_km,edge_density_km,circuity_avg,intersection_density_km,node_density_km
59,72,0.0018134390676605488,39681.68525649823,104.0938263415007,72,1294.0415581489676,15.0,360.5477036972314,721.0954073944625,1.0130292631233164,4.179321383769568,5.851049937277395
65,154,0.006207145440582454,24806.11987491575,103.03963168769458,154,15229.619805373926,63.0,878.6786088206383,1721.0508123372867,1.0427200564871055,3.634808554850924,4.557934537035286
78,237,0.046257169980108766,5123.419281435282,153.7827227560113,237,178054.57450876728,482.0,2284.233969223948,4550.9497795891,1.0949804834074814,6.1835017505362115,7.864080027134228
87,14,0.0020024027640971184,6988.110554149822,508.6022378300535,14,8474.94643842586,35.0,2627.008569799753,5173.0472022503245,1.0545838619293215,10.849071508712601,14.878726640520139
172,253,0.0008309761030661833,304095.27276996075,50.29053552445189,253,6552.387616229846,26.0,1869.2102266664901,3738.42045333298,1.0483762316360767,7.417062106178055,12.26667963714063
323,357,0.06331818994536263,5638.101187144861,131.5398635788331,357,350352.64676351997,1203.0,2161.956789433423,4278.344038412869,1.0801042336869622,7.4234747238656125,9.626451013491568
438,171,0.0007832591653728623,218040.16777885027,79.50718942229888,171,11969.455724049805,48.0,3191.545668946389,6180.197020343835,1.0544134341514861,12.79876008076282,14.931886760889956
712,158,0.00281630370184431,56081.9906979029,120.70706172056875,158,41990.45108073967,267.0,6226.981863530001,12019.463343193873,1.0638312221286699,39.5948153632748,50.716954510262106
732,87,0.002617971086252896,33219.1525353858,113.99488240191094,87,20947.93116268291,51.0,2097.0166189523866,4194.033237904773,1.0515019263462781,5.105413357338642,6.406793232738687
750,97,0.0011849417608805826,81791.53749335532,111.54181328551385,97,8810.87778901573,50.0,1583.2212416168916,3004.5889017762634,1.0705464340973507,8.984469422505486,10.242295141656253
764,63,0.0025688032256058406,24515.49572833442,158.8839797019868,63,15388.048225358883,39.0,3395.4970557251295,6705.212561282599,1.042019644600584,8.605664814271247,10.370929391557656
811,123,0.0403281097629525,3049.9061527262224,278.2332010038925,123,315924.6676363274,735.0,2453.3673329427684,4874.022601129087,1.0785591725826307,5.707768890616335,7.19101223498058
932,221,0.024184008847984825,9137.892046643366,158.88891924791977,221,241881.92621785254,901.0,2726.8561407749094,5371.817035557401,1.0761791875334905,10.157424414693029,13.189996187781182
1108,175,0.011468063801582842,15258.438092902432,143.77608752929723,175,165025.16314687248,623.0,3140.755920394821,6203.514668549884,1.08196770059794,11.856924732530137,15.739449043021548
1128,152,0.002463548472334565,61674.58327813559,77.3420449916072,152,12314.157693030942,53.0,1090.8108948352576,2181.6217896705166,1.1379462881853168,4.694838158438335,6.466475199358462
1231,20,0.008252264673736335,2423.2834872779868,637.9023288673147,20,1628.3458572745942,10.0,456.81104823269845,913.6220964653972,1.0984772841505122,2.805368688672045,5.330200508476885
1242,146,0.0009457613492693888,154209.9285238751,71.52567825145984,146,9945.267512318178,19.0,2010.9630972535745,3986.320492234143,1.0670479091786707,3.8418573256569752,4.85287241135618
1245,137,0.0070453157303535605,19442.784746338042,129.32783405774947,137,89543.53430470209,501.0,3685.2842055061974,7248.041110855787,1.0938317228578311,20.61932669170566,26.99855950051679
