tracking_id,num_points,bbox_area,point_density,avg_segment_distance,num_stops,street_length_total,intersection_count,street_density_km,edge_density_km,circuity_avg,intersection_density_km,node_density_km,cluster,pca1,pca2
74370,57,0.0005826554881708,97660.35127784006,97.73814992931004,57,12726.922985561569,55.0,4201.102199146971,8402.204398293945,1.0522105046323325,18.15526197614434,29.04841916183095,0,-0.0770188143764502,-1.2207201811099953
74581,92,0.0008900791851467,103245.59425641426,96.06559959678702,92,35302.990374152265,191.0,7107.932321803034,14084.25463958857,1.065146696170933,38.45609278636017,54.16067518078998,1,2.440005755636017,-0.4970312224987445
74626,115,0.0025918130935604,44353.37058641699,98.76924427605488,115,82939.18449720234,398.0,6708.683411178463,13319.193060824064,1.069171421753332,32.19293767880119,46.02457673175345,3,1.8829497205222088,0.808927683772864
74639,45,0.0003458553018592,129737.09716640205,128.16306499812234,45,3663.999201880493,17.0,3257.477717408221,6514.955434816444,1.0204091416489365,15.113846413372112,19.55909535848156,0,-0.6727412783291629,-1.5900843128469566
74950,182,0.0039387641983115,46195.65812542711,95.7900337990127,182,150713.1472281901,761.0,6372.0552912029625,12362.297157498591,1.0547214445135045,32.17459236826586,42.406197300092856,3,1.7771129364062468,2.7498136144834207
75304,201,0.0069875221665251,28761.445583271587,88.93398782614445,201,80966.55826635117,393.0,4720.61447791051,9338.98016795634,1.0581875528802387,22.913182053705157,32.24170400941209,3,0.4236540744295613,0.7300449175214879
75313,73,0.0030621708702019,23831.51417053928,120.76970695529356,73,14077.543953285212,113.0,5589.74494789405,9987.469423402044,1.0711621625787076,44.86870587710894,50.03059239394448,1,1.7216127913175858,-1.0464570384444767
75558,197,0.0044897471585009,43867.97854496908,96.4550840602403,197,183911.87300489156,923.0,6748.489000864803,13117.094436519172,1.0669559347386464,33.868696164235914,44.39991588160938,3,2.0216414554841013,3.736768811985491
75643,87,0.0003883491072045,223449.85102097652,64.45536503367856,87,9017.183710626652,49.0,8662.783108534244,17299.933316863753,1.086292665622017,47.07416261442441,73.01298691216847,1,3.7475612619393575,-1.2135570265579818
75700,141,0.0058809116049153,23971.798536069677,104.1859024983969,141,125453.45722158757,642.0,5548.810363779208,10622.163489778222,1.0525951720063709,28.39568021831493,36.180165761030544,3,1.1101832387460293,2.04749452025322
75701,38,0.0013687500605902,27742.2875116534,196.2082668399263,38,59561.86121430546,321.0,8908.00579954302,17736.335568049064,1.0530808528884452,48.00840342051848,63.86164567153081,1,3.8772126764231842,0.1608811929378953
75731,133,0.0039099211673071,34007.33339035188,114.76811621648018,133,130969.09738783647,650.0,5978.600496092285,11527.693594756707,1.0565641063783069,29.67181113688349,38.89289705942267,3,1.3919258016376508,2.16219497805066
76121,221,0.005456484233229,40494.84901017124,75.55829644695623,221,115365.4316729159,570.0,5347.15858891484,10211.877172112228,1.0514958902176783,26.419355880562296,34.576911380525395,3,0.9031275662246004,1.6928743032714109
76645,150,0.0008945278569081,167498.97710370974,66.27160956712294,150,29248.37206244626,143.0,9134.51304630034,18269.026092600685,1.0772160892111575,44.66010493958748,65.58476949170189,1,3.748760330806033,-0.665481223924058
76728,113,0.0001447825292387,775127.1746350711,48.34335001118877,113,4765.805455782854,23.0,8635.531975314789,17271.063950629577,1.0089392844070988,41.67548114899171,45.29943603151272,1,3.230958644129157,-1.619494697547208
77031,119,0.0033535297527806,35474.420789190706,134.48985866421168,119,82866.12692845058,380.0,4800.712926146131,9354.994094480357,1.0675540317458416,22.01467571316163,31.45781292696517,3,0.3383653235627397,0.7605853284019606
77219,86,0.0007480983453232,114804.6855755505,78.86148914706027,86,39371.16875289496,193.0,10966.921362233104,20287.568766105647,1.0889081203686506,53.760553469862494,68.8023663578033,1,4.680538824210166,-0.33274861252037014
77266,137,0.0018453233744618,74201.51956855005,72.18127032256245,137,56707.16050457856,253.0,7225.04112483805,14392.643472072832,1.0669051644011611,32.23464882246112,45.74007481131834,1,2.0778969802447183,0.020937906630710712
77276,191,0.0047531244706835,40175.64141995148,92.1329746183294,191,104806.61344064928,503.0,4863.7349254356695,9315.43750690588,1.0561898712554847,23.342598211891865,30.07157781571755,3,0.4437072638442557,1.3760411899476115
77371,140,0.0065745120435454,21291.117569684,104.51739563600891,140,113954.90483689826,586.0,5399.099867776352,10573.348280401631,1.0623628236630178,27.76425049053693,37.71389657076348,3,1.0295592379053031,1.7646300581074288
77487,71,0.0033623402203895,21109.966684183943,156.24648822908907,71,82431.79022102401,428.0,5541.3060940929845,10493.202730239813,1.0442134788210338,28.77141212040433,37.03983195874483,3,1.120314705575661,0.7839535091015654
77662,190,0.0046282717746051,41043.17250118821,95.9258503203854,190,188645.28138747037,983.0,6983.649184737002,13565.571319018494,1.0616548381078856,36.39066452182374,48.7553460582318,3,2.361424024139221,3.9505053726649435
78365,216,0.0047581249429152,45386.49491048833,78.52773991026822,216,97095.83785169615,492.0,4987.750665642626,9490.935760873135,1.0529655623972352,25.27372317693331,32.67091044823086,3,0.6359727728410083,1.2189933880077934
78437,96,0.0006358322579029,150746.13260975317,123.3631450887489,96,17485.652739211742,96.0,7201.179748505886,14242.623288431256,1.0622145644396028,39.536027974883005,52.71470396651067,1,2.46533820144473,-1.0354292347312901
78560,55,0.0025059663334178,21938.866616136616,206.7445336868184,55,2190.295219457262,22.0,422.6751239211352,838.1907568280403,1.0427828721789,4.245479168132026,4.438455493956209,0,-2.7524325773605587,-1.4975104083922917
78620,146,0.0038992229241364,37433.75772099656,109.5865881788494,146,132465.469843958,652.0,5787.579800780191,11189.714603131688,1.057886564647757,28.48668437558712,37.312313583974536,3,1.2281966741945458,2.196325703632495
78735,121,0.0048173391922839,25112.38731257607,110.58334459348406,121,104547.98608754232,495.0,4838.940540283754,9010.276770416178,1.0473293159765598,22.91077673590762,29.159170391155158,3,0.4100558245029898,1.3098743133860942
78901,69,0.0013057374867146,52803.26056419696,93.78778105625194,69,26193.303346383025,154.0,7965.5351648028445,15813.118072365034,1.0287852143352385,46.83229141272207,55.95546506455105,1,3.308544425745306,-0.9015357317680739
78940,173,0.004169553827649,41481.30132096168,75.99934406828203,173,73310.1584059234,373.0,4091.828569447046,7987.29940785322,1.0470416996168477,20.819107332339748,27.628574073748457,3,0.009054756855295566,0.520121229166526
